epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,870.706,0.724,0.69934,1.07374,0.67653,0.58945,0.62432,0.43497,1.28742,1.58803,1.41162,0.0003095,0.0003095,0.0003095
78,876.392,0.76327,0.7175,1.09194,0.72527,0.57005,0.62025,0.43081,1.24505,1.62573,1.3926,0.000297125,0.000297125,0.000297125
79,882.04,0.71814,0.68712,1.08506,0.61746,0.61624,0.63772,0.44729,1.18843,1.51619,1.34885,0.00028475,0.00028475,0.00028475
80,889.715,0.73146,0.69124,1.08259,0.71513,0.56174,0.6075,0.42865,1.23536,1.73521,1.36867,0.000272375,0.000272375,0.000272375
81,900.897,0.74397,0.70195,1.09396,0.67985,0.56233,0.59617,0.41535,1.22264,1.68394,1.3644,0.00026,0.00026,0.00026
82,912.314,0.75239,0.70451,1.07756,0.72472,0.53996,0.59831,0.42985,1.22468,1.80097,1.36953,0.000247625,0.000247625,0.000247625
83,923.945,0.7265,0.68621,1.07372,0.73467,0.53369,0.61202,0.43344,1.22996,1.55677,1.37581,0.00023525,0.00023525,0.00023525
84,934.839,0.67762,0.63818,1.06177,0.70395,0.56382,0.60532,0.43103,1.20936,1.71827,1.37254,0.000222875,0.000222875,0.000222875
85,946.305,0.70324,0.66352,1.07741,0.65048,0.57883,0.61177,0.42372,1.22091,1.62311,1.38627,0.0002105,0.0002105,0.0002105
86,957.683,0.71308,0.67511,1.07541,0.72042,0.56071,0.62295,0.43305,1.20202,1.66371,1.37253,0.000198125,0.000198125,0.000198125
87,968.966,0.6675,0.62475,1.06234,0.75738,0.53833,0.62034,0.43235,1.22622,1.67008,1.38042,0.00018575,0.00018575,0.00018575
88,980.306,0.65704,0.63764,1.04329,0.70042,0.55113,0.60586,0.43396,1.19423,1.64542,1.36753,0.000173375,0.000173375,0.000173375
89,991.889,0.7052,0.63988,1.05852,0.78638,0.50971,0.60053,0.42776,1.21899,1.72348,1.38827,0.000161,0.000161,0.000161
90,1003.27,0.65959,0.61277,1.04557,0.75292,0.52557,0.60482,0.42861,1.19551,1.71564,1.35725,0.000148625,0.000148625,0.000148625
91,1032.53,0.70061,0.62748,1.06724,0.6895,0.53537,0.56709,0.39418,1.24987,1.92056,1.42249,0.00013625,0.00013625,0.00013625
92,1043.72,0.66097,0.5576,1.02654,0.65118,0.59324,0.58518,0.41809,1.22066,1.71756,1.38467,0.000123875,0.000123875,0.000123875
93,1054.92,0.63401,0.52575,1.02151,0.74608,0.53032,0.58369,0.41215,1.21918,1.73108,1.38184,0.0001115,0.0001115,0.0001115
94,1066.17,0.62936,0.53157,1.02147,0.66649,0.55237,0.58155,0.41271,1.21642,1.78089,1.37303,9.9125e-05,9.9125e-05,9.9125e-05
95,1077.54,0.62807,0.5184,1.02696,0.728,0.5393,0.59842,0.42103,1.21001,1.77199,1.35912,8.675e-05,8.675e-05,8.675e-05
96,1089.09,0.61922,0.50069,1.00646,0.73173,0.5505,0.59976,0.42301,1.20554,1.73488,1.36674,7.4375e-05,7.4375e-05,7.4375e-05
97,1100.7,0.59603,0.49789,0.99794,0.67091,0.56348,0.60002,0.42704,1.22543,1.6755,1.38693,6.2e-05,6.2e-05,6.2e-05
98,1112.42,0.61112,0.49854,1.00436,0.68153,0.56792,0.60246,0.42085,1.21711,1.67199,1.38393,4.9625e-05,4.9625e-05,4.9625e-05
99,1124.07,0.58413,0.47218,0.994,0.69627,0.56885,0.60329,0.42632,1.20794,1.70047,1.37666,3.725e-05,3.725e-05,3.725e-05
100,1135.68,0.5963,0.48553,0.99644,0.68627,0.56533,0.60209,0.42386,1.20999,1.70841,1.37553,2.4875e-05,2.4875e-05,2.4875e-05
